# FTIR of PMMA (transmittance). C=O stretch at 1730 cm-1. Synthetic.
wavenumber_cm-1,transmittance_pct
400.0,95.379
402.0,95.301
404.0,95.462
406.0,95.562
408.0,95.67
410.0,95.516
412.0,95.416
414.0,95.382
416.0,95.612
418.0,95.744
420.0,95.54
422.0,95.314
424.0,95.356
426.0,95.739
428.0,95.53
430.0,95.239
432.0,95.487
434.0,95.325
436.0,95.405
438.0,95.426
440.0,95.392
442.0,95.582
444.0,95.49
446.0,95.411
448.0,95.561
450.0,95.624
452.0,95.253
454.0,95.461
456.0,95.352
458.0,95.473
460.0,95.306
462.0,95.502
464.0,95.494
466.0,95.454
468.0,95.342
470.0,95.44
472.0,95.336
474.0,95.296
476.0,95.533
478.0,95.333
480.0,95.675
482.0,95.607
484.0,95.2
486.0,95.54
488.0,95.334
490.0,95.504
492.0,95.506
494.0,95.201
496.0,95.464
498.0,95.461
500.0,95.644
502.0,95.322
504.0,95.61
506.0,95.334
508.0,95.45
510.0,95.373
512.0,95.717
514.0,95.584
516.0,95.864
518.0,95.596
520.0,95.626
522.0,95.625
524.0,95.408
526.0,95.489
528.0,95.702
530.0,95.44
532.0,95.528
534.0,95.496
536.0,95.591
538.0,95.445
540.0,95.476
542.0,95.536
544.0,95.515
546.0,95.37
548.0,95.634
550.0,95.304
552.0,95.319
554.0,95.307
556.0,95.644
558.0,95.445
560.0,95.354
562.0,95.329
564.0,95.562
566.0,95.341
568.0,95.308
570.0,95.591
572.0,95.32
574.0,95.451
576.0,95.498
578.0,95.432
580.0,95.491
582.0,95.7
584.0,95.422
586.0,95.31
588.0,95.224
590.0,95.469
592.0,95.446
594.0,95.539
596.0,95.43
598.0,95.427
600.0,95.391
602.0,95.421
604.0,95.523
606.0,95.442
608.0,95.514
610.0,95.784
612.0,95.571
614.0,95.263
616.0,95.759
618.0,95.551
620.0,95.358
622.0,95.635
624.0,95.502
626.0,95.407
628.0,95.404
630.0,95.35
632.0,95.506
634.0,95.66
636.0,95.451
638.0,95.562
640.0,95.781
642.0,95.317
644.0,95.538
646.0,95.453
648.0,95.34
650.0,95.345
652.0,95.497
654.0,95.564
656.0,95.42
658.0,95.507
660.0,95.608
662.0,95.544
664.0,95.63
666.0,95.568
668.0,95.572
670.0,95.773
672.0,95.593
674.0,95.519
676.0,95.606
678.0,95.361
680.0,95.449
682.0,95.618
684.0,95.594
686.0,95.731
688.0,95.5
690.0,95.279
692.0,95.79
694.0,95.66
696.0,95.334
698.0,95.692
700.0,95.479
702.0,95.182
704.0,95.355
706.0,95.282
708.0,95.498
710.0,94.984
712.0,94.821
714.0,94.449
716.0,93.894
718.0,93.047
720.0,92.159
722.0,90.875
724.0,88.984
726.0,86.481
728.0,83.721
730.0,80.761
732.0,77.139
734.0,73.424
736.0,69.464
738.0,66.298
740.0,62.697
742.0,59.385
744.0,57.185
746.0,55.412
748.0,53.725
750.0,53.621
752.0,54.025
754.0,55.308
756.0,57.031
758.0,59.496
760.0,62.551
762.0,66.284
764.0,70.04
766.0,73.44
768.0,77.106
770.0,81.147
772.0,83.746
774.0,86.534
776.0,88.896
778.0,90.786
780.0,92.28
782.0,93.243
784.0,93.82
786.0,94.567
788.0,94.896
790.0,95.384
792.0,95.258
794.0,95.158
796.0,95.261
798.0,95.671
800.0,95.393
802.0,95.17
804.0,95.405
806.0,95.496
808.0,95.676
810.0,95.346
812.0,95.599
814.0,95.618
816.0,95.394
818.0,95.471
820.0,95.765
822.0,95.757
824.0,95.628
826.0,95.549
828.0,95.67
830.0,95.478
832.0,95.485
834.0,95.37
836.0,95.5
838.0,95.487
840.0,95.915
842.0,95.47
844.0,95.69
846.0,95.697
848.0,95.471
850.0,95.675
852.0,95.173
854.0,95.513
856.0,95.628
858.0,95.14
860.0,95.325
862.0,95.658
864.0,95.461
866.0,95.335
868.0,95.443
870.0,95.418
872.0,95.608
874.0,95.567
876.0,95.457
878.0,95.399
880.0,95.491
882.0,95.698
884.0,95.552
886.0,95.595
888.0,95.477
890.0,95.305
892.0,95.393
894.0,95.597
896.0,95.515
898.0,95.364
900.0,95.257
902.0,95.516
904.0,95.448
906.0,95.447
908.0,95.45
910.0,95.542
912.0,95.543
914.0,95.644
916.0,95.639
918.0,95.699
920.0,95.62
922.0,95.449
924.0,95.491
926.0,95.573
928.0,95.453
930.0,95.582
932.0,95.672
934.0,95.379
936.0,95.234
938.0,95.678
940.0,95.502
942.0,95.606
944.0,95.299
946.0,95.759
948.0,95.61
950.0,95.48
952.0,95.446
954.0,95.516
956.0,95.474
958.0,95.457
960.0,95.331
962.0,95.689
964.0,95.493
966.0,95.51
968.0,95.513
970.0,95.146
972.0,95.578
974.0,95.45
976.0,95.456
978.0,95.51
980.0,95.353
982.0,95.626
984.0,95.395
986.0,95.364
988.0,95.37
990.0,95.523
992.0,95.611
994.0,95.41
996.0,95.273
998.0,95.659
1000.0,95.339
1002.0,95.678
1004.0,95.491
1006.0,95.395
1008.0,95.403
1010.0,95.569
1012.0,95.633
1014.0,95.47
1016.0,95.641
1018.0,95.812
1020.0,95.468
1022.0,95.327
1024.0,95.341
1026.0,95.291
1028.0,95.403
1030.0,95.391
1032.0,95.3
1034.0,95.579
1036.0,95.108
1038.0,95.301
1040.0,95.802
1042.0,95.655
1044.0,95.578
1046.0,95.568
1048.0,95.765
1050.0,95.58
1052.0,95.511
1054.0,95.315
1056.0,95.488
1058.0,95.389
1060.0,95.393
1062.0,95.392
1064.0,95.493
1066.0,95.45
1068.0,95.63
1070.0,95.3
1072.0,95.474
1074.0,95.778
1076.0,95.505
1078.0,95.679
1080.0,95.67
1082.0,95.697
1084.0,95.61
1086.0,95.292
1088.0,95.459
1090.0,95.442
1092.0,95.267
1094.0,95.43
1096.0,95.312
1098.0,95.249
1100.0,95.529
1102.0,95.489
1104.0,95.388
1106.0,95.338
1108.0,95.379
1110.0,95.358
1112.0,95.275
1114.0,95.177
1116.0,94.85
1118.0,94.51
1120.0,93.77
1122.0,92.548
1124.0,90.595
1126.0,88.025
1128.0,84.68
1130.0,80.085
1132.0,74.659
1134.0,68.093
1136.0,61.454
1138.0,55.317
1140.0,49.168
1142.0,43.985
1144.0,39.593
1146.0,36.411
1148.0,34.51
1150.0,33.67
1152.0,34.64
1154.0,36.287
1156.0,39.56
1158.0,43.806
1160.0,49.16
1162.0,55.4
1164.0,61.785
1166.0,68.409
1168.0,74.537
1170.0,80.058
1172.0,84.865
1174.0,88.063
1176.0,90.872
1178.0,92.618
1180.0,93.801
1182.0,94.573
1184.0,94.763
1186.0,95.241
1188.0,95.574
1190.0,95.313
1192.0,95.453
1194.0,95.377
1196.0,95.539
1198.0,95.334
1200.0,95.739
1202.0,95.442
1204.0,95.268
1206.0,95.768
1208.0,95.645
1210.0,95.577
1212.0,95.579
1214.0,95.446
1216.0,95.466
1218.0,95.608
1220.0,95.637
1222.0,95.639
1224.0,95.531
1226.0,95.429
1228.0,95.47
1230.0,95.666
1232.0,95.715
1234.0,95.448
1236.0,95.428
1238.0,95.686
1240.0,95.608
1242.0,95.604
1244.0,95.302
1246.0,95.443
1248.0,95.422
1250.0,95.53
1252.0,95.247
1254.0,95.69
1256.0,95.544
1258.0,95.564
1260.0,95.322
1262.0,95.495
1264.0,95.699
1266.0,95.264
1268.0,95.545
1270.0,95.604
1272.0,95.395
1274.0,95.621
1276.0,95.45
1278.0,95.684
1280.0,95.578
1282.0,95.533
1284.0,95.801
1286.0,95.624
1288.0,95.696
1290.0,95.321
1292.0,95.402
1294.0,95.625
1296.0,95.635
1298.0,95.491
1300.0,95.616
1302.0,95.341
1304.0,95.531
1306.0,95.327
1308.0,95.55
1310.0,95.426
1312.0,95.403
1314.0,95.508
1316.0,95.772
1318.0,95.347
1320.0,95.409
1322.0,95.659
1324.0,95.436
1326.0,95.765
1328.0,95.533
1330.0,95.513
1332.0,95.553
1334.0,95.76
1336.0,95.598
1338.0,95.577
1340.0,95.537
1342.0,95.265
1344.0,95.366
1346.0,95.722
1348.0,95.623
1350.0,95.575
1352.0,95.595
1354.0,95.418
1356.0,95.55
1358.0,95.364
1360.0,95.558
1362.0,95.392
1364.0,95.467
1366.0,95.567
1368.0,95.45
1370.0,95.596
1372.0,95.568
1374.0,95.553
1376.0,95.698
1378.0,95.278
1380.0,95.26
1382.0,95.592
1384.0,95.64
1386.0,95.801
1388.0,95.613
1390.0,95.624
1392.0,95.367
1394.0,95.612
1396.0,95.6
1398.0,95.341
1400.0,95.365
1402.0,95.482
1404.0,95.541
1406.0,95.054
1408.0,95.499
1410.0,95.504
1412.0,95.392
1414.0,95.337
1416.0,95.092
1418.0,94.305
1420.0,93.435
1422.0,91.428
1424.0,88.26
1426.0,83.967
1428.0,78.301
1430.0,70.988
1432.0,63.803
1434.0,57.236
1436.0,52.584
1438.0,48.951
1440.0,47.854
1442.0,48.871
1444.0,52.146
1446.0,57.18
1448.0,64.077
1450.0,71.246
1452.0,77.781
1454.0,83.779
1456.0,88.29
1458.0,91.462
1460.0,93.409
1462.0,94.626
1464.0,95.228
1466.0,95.457
1468.0,95.62
1470.0,95.295
1472.0,95.406
1474.0,95.667
1476.0,95.542
1478.0,95.502
1480.0,95.202
1482.0,95.22
1484.0,95.609
1486.0,95.55
1488.0,95.455
1490.0,95.437
1492.0,95.24
1494.0,95.555
1496.0,95.654
1498.0,95.746
1500.0,95.507
1502.0,95.469
1504.0,95.335
1506.0,95.683
1508.0,95.755
1510.0,95.407
1512.0,95.543
1514.0,95.513
1516.0,95.413
1518.0,95.125
1520.0,95.444
1522.0,95.59
1524.0,95.283
1526.0,95.373
1528.0,95.007
1530.0,95.692
1532.0,95.574
1534.0,95.506
1536.0,95.459
1538.0,95.404
1540.0,95.487
1542.0,95.453
1544.0,95.462
1546.0,95.494
1548.0,95.518
1550.0,95.732
1552.0,95.282
1554.0,95.539
1556.0,95.406
1558.0,95.328
1560.0,95.144
1562.0,95.59
1564.0,95.351
1566.0,95.385
1568.0,95.568
1570.0,95.335
1572.0,95.502
1574.0,95.487
1576.0,95.618
1578.0,95.649
1580.0,95.368
1582.0,95.635
1584.0,95.483
1586.0,95.516
1588.0,95.466
1590.0,95.614
1592.0,95.316
1594.0,95.537
1596.0,95.674
1598.0,95.455
1600.0,95.802
1602.0,95.387
1604.0,95.53
1606.0,95.425
1608.0,95.405
1610.0,95.33
1612.0,95.417
1614.0,95.49
1616.0,95.377
1618.0,95.63
1620.0,95.726
1622.0,95.268
1624.0,95.623
1626.0,95.526
1628.0,95.534
1630.0,95.867
1632.0,95.678
1634.0,95.548
1636.0,95.525
1638.0,95.174
1640.0,95.615
1642.0,95.387
1644.0,95.526
1646.0,95.514
1648.0,95.643
1650.0,95.804
1652.0,95.647
1654.0,95.69
1656.0,95.464
1658.0,95.568
1660.0,95.615
1662.0,95.283
1664.0,95.805
1666.0,95.392
1668.0,95.308
1670.0,95.744
1672.0,95.817
1674.0,95.394
1676.0,95.407
1678.0,95.966
1680.0,95.516
1682.0,95.202
1684.0,95.407
1686.0,95.799
1688.0,95.597
1690.0,95.61
1692.0,95.677
1694.0,95.584
1696.0,95.406
1698.0,95.151
1700.0,95.309
1702.0,94.758
1704.0,94.282
1706.0,93.361
1708.0,91.085
1710.0,87.611
1712.0,82.522
1714.0,75.668
1716.0,67.098
1718.0,57.2
1720.0,47.894
1722.0,39.612
1724.0,32.661
1726.0,27.618
1728.0,24.81
1730.0,23.679
1732.0,24.793
1734.0,27.974
1736.0,32.537
1738.0,39.227
1740.0,47.78
1742.0,57.381
1744.0,66.944
1746.0,75.505
1748.0,82.396
1750.0,87.698
1752.0,91.235
1754.0,93.012
1756.0,94.209
1758.0,95.104
1760.0,95.023
1762.0,95.302
1764.0,95.399
1766.0,95.508
1768.0,95.452
1770.0,95.364
1772.0,95.545
1774.0,95.321
1776.0,95.238
1778.0,95.195
1780.0,95.612
1782.0,95.239
1784.0,95.566
1786.0,95.6
1788.0,95.62
1790.0,95.473
1792.0,95.417
1794.0,95.512
1796.0,95.41
1798.0,95.306
1800.0,95.688
1802.0,95.365
1804.0,95.769
1806.0,95.576
1808.0,95.431
1810.0,95.565
1812.0,95.684
1814.0,95.292
1816.0,95.36
1818.0,95.342
1820.0,95.524
1822.0,95.56
1824.0,95.504
1826.0,95.39
1828.0,95.42
1830.0,95.677
1832.0,95.667
1834.0,95.519
1836.0,95.303
1838.0,95.593
1840.0,95.542
1842.0,95.537
1844.0,95.759
1846.0,95.622
1848.0,95.353
1850.0,95.355
1852.0,95.706
1854.0,95.53
1856.0,95.632
1858.0,95.483
1860.0,95.357
1862.0,95.548
1864.0,95.742
1866.0,95.559
1868.0,95.339
1870.0,95.462
1872.0,95.435
1874.0,95.536
1876.0,95.664
1878.0,95.807
1880.0,95.546
1882.0,95.449
1884.0,95.525
1886.0,95.516
1888.0,95.45
1890.0,95.517
1892.0,95.514
1894.0,95.337
1896.0,95.596
1898.0,95.459
1900.0,95.366
1902.0,95.587
1904.0,95.441
1906.0,95.775
1908.0,95.585
1910.0,95.525
1912.0,95.399
1914.0,95.451
1916.0,95.64
1918.0,95.409
1920.0,95.626
1922.0,95.197
1924.0,95.541
1926.0,95.634
1928.0,95.562
1930.0,95.51
1932.0,95.662
1934.0,95.382
1936.0,95.363
1938.0,95.526
1940.0,95.691
1942.0,95.575
1944.0,95.481
1946.0,95.556
1948.0,95.577
1950.0,95.324
1952.0,95.089
1954.0,95.357
1956.0,95.286
1958.0,95.424
1960.0,95.33
1962.0,95.381
1964.0,95.576
1966.0,95.525
1968.0,95.507
1970.0,95.76
1972.0,95.442
1974.0,95.455
1976.0,95.702
1978.0,95.345
1980.0,95.268
1982.0,95.709
1984.0,95.564
1986.0,95.603
1988.0,95.609
1990.0,95.649
1992.0,95.443
1994.0,95.503
1996.0,95.348
1998.0,95.536
2000.0,95.55
2002.0,95.447
2004.0,95.616
2006.0,95.959
2008.0,95.343
2010.0,95.641
2012.0,95.658
2014.0,95.677
2016.0,95.397
