# EI-MS of caffeine (M+ at 194). Synthetic.
mz,rel_intensity_pct
40.0,0.0
40.02,0.36
40.04,0.42
40.06,0.1
40.08,0.12
40.1,0.0
40.12,0.0
40.14,0.0
40.16,0.0
40.18,0.28
40.2,0.0
40.22,0.04
40.24,0.0
40.26,0.0
40.28,0.0
40.3,0.0
40.32,0.18
40.34,0.01
40.36,0.0
40.38,0.0
40.4,0.0
40.42,0.37
40.44,0.0
40.46,0.01
40.48,0.64
40.5,0.0
40.52,0.0
40.54,0.0
40.56,0.03
40.58,0.0
40.6,0.0
40.62,0.0
40.64,0.05
40.66,0.0
40.68,0.19
40.7,0.48
40.72,0.13
40.74,0.0
40.76,0.0
40.78,0.0
40.8,0.14
40.82,0.45
40.84,0.2
40.86,0.0
40.88,0.0
40.9,0.0
40.92,0.0
40.94,0.31
40.96,0.0
40.98,0.0
41.0,0.18
41.02,0.3
41.04,0.05
41.06,0.32
41.08,0.16
41.1,0.0
41.12,0.39
41.14,0.0
41.16,0.0
41.18,0.13
41.2,0.54
41.22,0.29
41.24,0.3
41.26,0.06
41.28,0.0
41.3,0.2
41.32,0.05
41.34,0.0
41.36,0.0
41.38,0.0
41.4,0.32
41.42,0.04
41.44,0.09
41.46,0.07
41.48,0.0
41.5,0.0
41.52,0.02
41.54,0.0
41.56,0.0
41.58,0.0
41.6,0.0
41.62,0.17
41.64,0.06
41.66,0.0
41.68,0.0
41.7,0.0
41.72,0.0
41.74,0.0
41.76,0.27
41.78,0.0
41.8,0.2
41.82,0.35
41.84,0.72
41.86,0.14
41.88,0.67
41.9,0.82
41.92,2.03
41.94,4.42
41.96,7.79
41.98,11.01
42.0,12.74
42.02,10.74
42.04,7.85
42.06,4.42
42.08,2.03
42.1,0.86
42.12,0.22
42.14,0.05
42.16,0.52
42.18,0.0
42.2,0.14
42.22,0.0
42.24,0.0
42.26,0.0
42.28,0.24
42.3,0.0
42.32,0.0
42.34,0.54
42.36,0.13
42.38,0.0
42.4,0.0
42.42,0.0
42.44,0.0
42.46,0.26
42.48,0.0
42.5,0.26
42.52,0.24
42.54,0.0
42.56,0.03
42.58,0.0
42.6,0.0
42.62,0.0
42.64,0.49
42.66,0.0
42.68,0.04
42.7,0.0
42.72,0.14
42.74,0.17
42.76,0.0
42.78,0.11
42.8,0.0
42.82,0.0
42.84,0.39
42.86,0.35
42.88,0.0
42.9,0.0
42.92,0.0
42.94,0.0
42.96,0.0
42.98,0.17
43.0,0.0
43.02,0.0
43.04,0.09
43.06,0.0
43.08,0.37
43.1,0.0
43.12,0.0
43.14,0.0
43.16,0.0
43.18,0.1
43.2,0.21
43.22,0.29
43.24,0.0
43.26,0.2
43.28,0.0
43.3,0.0
43.32,0.0
43.34,0.0
43.36,0.0
43.38,0.18
43.4,0.0
43.42,0.0
43.44,0.0
43.46,0.0
43.48,0.0
43.5,0.0
43.52,0.0
43.54,0.11
43.56,0.16
43.58,0.23
43.6,0.0
43.62,0.0
43.64,0.0
43.66,0.03
43.68,0.0
43.7,0.12
43.72,0.3
43.74,0.59
43.76,0.0
43.78,0.17
43.8,0.0
43.82,0.31
43.84,0.0
43.86,0.0
43.88,0.0
43.9,0.47
43.92,0.16
43.94,0.27
43.96,0.0
43.98,0.11
44.0,0.0
44.02,0.0
44.04,0.41
44.06,0.0
44.08,0.02
44.1,0.36
44.12,0.32
44.14,0.2
44.16,0.0
44.18,0.41
44.2,0.0
44.22,0.0
44.24,0.0
44.26,0.09
44.28,0.0
44.3,0.0
44.32,0.0
44.34,0.0
44.36,0.0
44.38,0.0
44.4,0.19
44.42,0.62
44.44,0.0
44.46,0.13
44.48,0.0
44.5,0.0
44.52,0.0
44.54,0.15
44.56,0.0
44.58,0.0
44.6,0.0
44.62,0.0
44.64,0.0
44.66,0.0
44.68,0.28
44.7,0.0
44.72,0.35
44.74,0.06
44.76,0.0
44.78,0.1
44.8,0.0
44.82,0.23
44.84,0.0
44.86,0.0
44.88,0.49
44.9,0.0
44.92,0.0
44.94,0.0
44.96,0.05
44.98,0.0
45.0,0.23
45.02,0.06
45.04,0.07
45.06,0.0
45.08,0.46
45.1,0.0
45.12,0.0
45.14,0.37
45.16,0.0
45.18,0.0
45.2,0.0
45.22,0.0
45.24,0.0
45.26,0.0
45.28,0.0
45.3,0.0
45.32,0.0
45.34,0.25
45.36,0.41
45.38,0.4
45.4,0.0
45.42,0.0
45.44,0.0
45.46,0.0
45.48,0.0
45.5,0.03
45.52,0.0
45.54,0.16
45.56,0.0
45.58,0.11
45.6,0.16
45.62,0.0
45.64,0.0
45.66,0.05
45.68,0.0
45.7,0.04
45.72,0.0
45.74,0.19
45.76,0.0
45.78,0.0
45.8,0.0
45.82,0.18
45.84,0.22
45.86,0.0
45.88,0.09
45.9,0.0
45.92,0.26
45.94,0.0
45.96,0.0
45.98,0.0
46.0,0.0
46.02,0.0
46.04,0.57
46.06,0.0
46.08,0.0
46.1,0.01
46.12,0.0
46.14,0.32
46.16,0.21
46.18,0.0
46.2,0.0
46.22,0.0
46.24,0.0
46.26,0.0
46.28,0.0
46.3,0.05
46.32,0.0
46.34,0.0
46.36,0.39
46.38,0.35
46.4,0.05
46.42,0.16
46.44,0.3
46.46,0.43
46.48,0.0
46.5,0.0
46.52,0.36
46.54,0.0
46.56,0.0
46.58,0.18
46.6,0.0
46.62,0.0
46.64,0.0
46.66,0.23
46.68,0.04
46.7,0.04
46.72,0.0
46.74,0.0
46.76,0.0
46.78,0.0
46.8,0.35
46.82,0.0
46.84,0.0
46.86,0.61
46.88,0.12
46.9,0.0
46.92,0.21
46.94,0.05
46.96,0.48
46.98,0.24
47.0,0.0
47.02,0.4
47.04,0.0
47.06,0.65
