# Nanoindentation load-displacement (load-hold-unload). Synthetic.
depth_nm,load_mN
0.0,0.0277
1.256,0.0672
2.513,0.1564
3.769,0.1767
5.025,0.4722
6.281,0.5234
7.538,0.8733
8.794,1.0734
10.05,1.316
11.307,1.5621
12.563,1.796
13.819,2.0281
15.075,2.326
16.332,2.7154
17.588,2.9213
18.844,3.2607
20.101,3.5685
21.357,3.922
22.613,4.286
23.869,4.6775
25.126,5.023
26.382,5.4025
27.638,5.7811
28.894,6.2172
30.151,6.5551
31.407,7.0431
32.663,7.5326
33.92,7.8636
35.176,8.3428
36.432,8.9369
37.688,9.2053
38.945,9.6404
40.201,10.1743
41.457,10.7676
42.714,11.268
43.97,11.6017
45.226,12.1944
46.482,12.6765
47.739,13.1643
48.995,13.6206
50.251,14.3001
51.508,14.7435
52.764,15.3457
54.02,15.8857
55.276,16.5323
56.533,17.0612
57.789,17.5145
59.045,18.1352
60.302,18.7825
61.558,19.2523
62.814,19.8938
64.07,20.5252
65.327,21.0393
66.583,21.6705
67.839,22.265
69.095,22.9882
70.352,23.5752
71.608,24.2848
72.864,24.8847
74.121,25.5538
75.377,26.1727
76.633,26.8716
77.889,27.4914
79.146,28.1153
80.402,28.8968
81.658,29.5652
82.915,30.3133
84.171,30.8818
85.427,31.554
86.683,32.2099
87.94,32.7936
89.196,33.6305
90.452,34.4347
91.709,35.0854
92.965,35.7243
94.221,36.6137
95.477,37.2878
96.734,38.0382
97.99,38.7785
99.246,39.5419
100.503,40.3256
101.759,40.9732
103.015,41.8113
104.271,42.5646
105.528,43.4188
106.784,44.0869
108.04,45.0017
109.296,45.736
110.553,46.5771
111.809,47.2554
113.065,48.1302
114.322,48.9118
115.578,49.6269
116.834,50.5013
118.09,51.3087
119.347,52.1043
120.603,52.9398
121.859,53.7362
123.116,54.619
124.372,55.4976
125.628,56.2847
126.884,57.0924
128.141,58.074
129.397,58.8585
130.653,59.738
131.91,60.5885
133.166,61.441
134.422,62.37
135.678,63.1894
136.935,64.0973
138.191,64.9077
139.447,65.7861
140.704,66.7407
141.96,67.7518
143.216,68.5654
144.472,69.5571
145.729,70.391
146.985,71.3029
148.241,72.1669
149.497,73.1146
150.754,74.1289
152.01,75.026
153.266,75.8667
154.523,76.8096
155.779,77.8388
157.035,78.6889
158.291,79.7071
159.548,80.5658
160.804,81.5967
162.06,82.5993
163.317,83.5262
