# Thermal conductivity of Pyrex-like glass vs T. Synthetic.
temperature_K,k_W_per_mK
50.0,1.1047
60.0,1.1
70.0,1.0891
80.0,1.1079
90.0,1.1131
100.0,1.1213
110.0,1.1379
120.0,1.122
130.0,1.1555
140.0,1.1367
150.0,1.1542
160.0,1.1733
170.0,1.1766
180.0,1.1663
190.0,1.2016
200.0,1.1904
210.0,1.1801
220.0,1.1975
230.0,1.1923
240.0,1.2127
250.0,1.1964
260.0,1.2232
270.0,1.201
280.0,1.2401
290.0,1.2348
300.0,1.2523
310.0,1.2318
320.0,1.2194
330.0,1.2322
340.0,1.2497
350.0,1.2801
360.0,1.2671
370.0,1.2796
380.0,1.2568
390.0,1.2644
400.0,1.27
410.0,1.2912
420.0,1.2734
430.0,1.2796
440.0,1.3053
450.0,1.278
460.0,1.2906
470.0,1.2773
480.0,1.2929
490.0,1.3079
500.0,1.3143
510.0,1.2852
520.0,1.2735
530.0,1.3119
540.0,1.327
550.0,1.3001
560.0,1.313
570.0,1.3114
580.0,1.2863
590.0,1.2811
