# UV-Vis of gold nanoparticles in water. Plasmon ~525 nm. Synthetic.
wavelength_nm,absorbance
300.0,0.0591
301.0,0.0339
302.0,0.0535
303.0,0.0484
304.0,0.054
305.0,0.0487
306.0,0.0553
307.0,0.0458
308.0,0.0424
309.0,0.0473
310.0,0.046
311.0,0.0415
312.0,0.0415
313.0,0.0458
314.0,0.0452
315.0,0.0387
316.0,0.0388
317.0,0.0311
318.0,0.048
319.0,0.038
320.0,0.0453
321.0,0.0402
322.0,0.0474
323.0,0.0449
324.0,0.0383
325.0,0.0437
326.0,0.0311
327.0,0.0417
328.0,0.0276
329.0,0.0363
330.0,0.0395
331.0,0.0349
332.0,0.0315
333.0,0.0289
334.0,0.0308
335.0,0.0374
336.0,0.0362
337.0,0.0301
338.0,0.0248
339.0,0.034
340.0,0.0231
341.0,0.0273
342.0,0.0259
343.0,0.033
344.0,0.0301
345.0,0.0309
346.0,0.0296
347.0,0.0245
348.0,0.0303
349.0,0.0344
350.0,0.0268
351.0,0.0299
352.0,0.0258
353.0,0.0312
354.0,0.0291
355.0,0.0299
356.0,0.027
357.0,0.0331
358.0,0.0229
359.0,0.0227
360.0,0.0212
361.0,0.0269
362.0,0.0205
363.0,0.0201
364.0,0.0267
365.0,0.0287
366.0,0.0255
367.0,0.009
368.0,0.0174
369.0,0.0165
370.0,0.0156
371.0,0.0194
372.0,0.0303
373.0,0.0195
374.0,0.0171
375.0,0.0241
376.0,0.0208
377.0,0.0208
378.0,0.0166
379.0,0.0199
380.0,0.0219
381.0,0.01
382.0,0.0113
383.0,0.0246
384.0,0.0233
385.0,0.0164
386.0,0.0137
387.0,0.0177
388.0,0.0126
389.0,0.0167
390.0,0.0266
391.0,0.0189
392.0,0.024
393.0,0.017
394.0,0.0199
395.0,0.025
396.0,0.0114
397.0,0.0163
398.0,0.0173
399.0,0.0195
400.0,0.026
401.0,0.0217
402.0,0.0109
403.0,0.0172
404.0,0.0143
405.0,0.0144
406.0,0.0294
407.0,0.0142
408.0,0.021
409.0,0.0167
410.0,0.025
411.0,0.0229
412.0,0.0223
413.0,0.0219
414.0,0.0286
415.0,0.019
416.0,0.0209
417.0,0.0198
418.0,0.033
419.0,0.0259
420.0,0.0234
421.0,0.0277
422.0,0.0437
423.0,0.0322
424.0,0.0386
425.0,0.0384
426.0,0.0379
427.0,0.0365
428.0,0.0405
429.0,0.0427
430.0,0.036
431.0,0.0627
432.0,0.0573
433.0,0.0563
434.0,0.0581
435.0,0.0587
436.0,0.0712
437.0,0.0695
438.0,0.0771
439.0,0.0724
440.0,0.086
441.0,0.0993
442.0,0.0933
443.0,0.1045
444.0,0.1068
445.0,0.1186
446.0,0.1252
447.0,0.1273
448.0,0.1317
449.0,0.1439
450.0,0.151
451.0,0.1565
452.0,0.171
453.0,0.1805
454.0,0.184
455.0,0.1984
456.0,0.2245
457.0,0.2254
458.0,0.2338
459.0,0.2583
460.0,0.2563
461.0,0.2596
462.0,0.2764
463.0,0.2928
464.0,0.3166
465.0,0.3356
466.0,0.3359
467.0,0.3688
468.0,0.374
469.0,0.3989
470.0,0.4179
471.0,0.4362
472.0,0.453
473.0,0.4733
474.0,0.4866
475.0,0.514
476.0,0.5382
477.0,0.5591
478.0,0.5891
479.0,0.6034
480.0,0.6239
481.0,0.6511
482.0,0.6669
483.0,0.6824
484.0,0.7011
485.0,0.7423
486.0,0.7626
487.0,0.788
488.0,0.8061
489.0,0.8337
490.0,0.8656
491.0,0.882
492.0,0.8989
493.0,0.9264
494.0,0.9595
495.0,0.9709
496.0,0.987
497.0,1.0118
498.0,1.0396
499.0,1.073
500.0,1.0917
501.0,1.1093
502.0,1.1281
503.0,1.1548
504.0,1.1749
505.0,1.1925
506.0,1.2131
507.0,1.2289
508.0,1.2593
509.0,1.2553
510.0,1.2838
511.0,1.2932
512.0,1.3161
513.0,1.3248
514.0,1.3402
515.0,1.3524
516.0,1.3612
517.0,1.3745
